File Name, Number of Seeders, Time Taken (microseconds)
big.iso,1,5071805
big.iso,1,4236475
big.iso,1,3878080
big.iso,1,3869854
big.iso,1,3879101
big.iso,1,3732468
big.iso,1,3702473
big.iso,1,3850099
big.iso,1,3956864
big.iso,1,3729186
big.iso,2,5575754
big.iso,2,4273600
big.iso,2,4600089
big.iso,2,4175979
big.iso,2,4331128
big.iso,2,4466060
big.iso,2,5205339
big.iso,2,6046671
big.iso,2,6098577
big.iso,2,5980360
big.iso,3,4220213
big.iso,3,3502513
big.iso,3,5244245
big.iso,3,5519395
big.iso,3,5802304
big.iso,3,5333496
big.iso,3,6014505
big.iso,3,6213678
big.iso,3,5984507
big.iso,3,6464938
big.iso,4,4779078
big.iso,4,5115187
big.iso,4,4286619
big.iso,4,5980422
big.iso,4,5491035
big.iso,4,5303753
big.iso,4,5897568
big.iso,4,5578328
big.iso,4,5645881
big.iso,4,5215193
big.iso,5,4254933
big.iso,5,3562782
big.iso,5,3418292
big.iso,5,3367060
big.iso,5,4899619
big.iso,5,3753793
big.iso,5,4261000
big.iso,5,4351679
big.iso,5,3436136
big.iso,5,4700284
big.iso,6,2981264
big.iso,6,3019321
big.iso,6,3831604
big.iso,6,3932857
big.iso,6,3841795
big.iso,6,4479226
big.iso,6,3763106
big.iso,6,3467337
big.iso,6,3152031
big.iso,6,3352293
big.iso,7,2843689
big.iso,7,2842146
big.iso,7,2775601
big.iso,7,4391948
big.iso,7,3283941
big.iso,7,4103649
big.iso,7,3381497
big.iso,7,5213037
big.iso,7,3138379
big.iso,7,3583798
big.iso,7,3633300
big.iso,7,3714410
big.iso,7,3773431
big.iso,7,3561841
big.iso,7,3568269
xyz.mp4,1,2019384
xyz.mp4,1,1987922
xyz.mp4,1,1987735
xyz.mp4,1,1918527
xyz.mp4,1,1883541
xyz.mp4,1,1881537
xyz.mp4,1,1959323
xyz.mp4,1,1969718
xyz.mp4,1,1908908
xyz.mp4,1,1929322
xyz.mp4,2,1403168
xyz.mp4,2,1453426
xyz.mp4,2,1474128
xyz.mp4,2,1406945
xyz.mp4,2,1461257
xyz.mp4,2,1404078
xyz.mp4,2,1414550
xyz.mp4,2,1389195
xyz.mp4,2,1431150
xyz.mp4,2,1403572
xyz.mp4,3,1087297
xyz.mp4,3,1207163
xyz.mp4,3,1133532
xyz.mp4,3,1079612
xyz.mp4,3,1086270
xyz.mp4,3,1106956
xyz.mp4,3,1081074
xyz.mp4,3,1084274
xyz.mp4,3,1099814
xyz.mp4,3,1085282
xyz.mp4,4,1142925
xyz.mp4,4,1136617
xyz.mp4,4,1142308
xyz.mp4,4,1151987
xyz.mp4,4,1136994
xyz.mp4,4,1154281
xyz.mp4,4,1128551
xyz.mp4,4,1108902
xyz.mp4,4,1134428
xyz.mp4,4,1112673
xyz.mp4,5,1139572
xyz.mp4,5,1145734
xyz.mp4,5,1151218
xyz.mp4,5,1139639
xyz.mp4,5,1133600
xyz.mp4,5,1133107
xyz.mp4,5,1147115
xyz.mp4,5,1134799
xyz.mp4,5,1154537
xyz.mp4,5,1150218
xyz.mp4,6,1160087
xyz.mp4,6,1191214
xyz.mp4,6,1157025
xyz.mp4,6,1171994
xyz.mp4,7,1179691
xyz.mp4,7,1186204
xyz.mp4,7,2865071
xyz.mp4,7,2862189
xyz.mp4,7,2803930
xyz.mp4,7,1169986
xyz.mp4,7,2519230
xyz.mp4,7,1955952
xyz.mp4,7,2884224
xyz.mp4,7,2836033
xyz.mp4,6,2948201
xyz.mp4,6,2755905
xyz.mp4,6,1517837
xyz.mp4,6,1270717
xyz.mp4,6,2007885
xyz.mp4,6,1563419
xyz.mp4,6,1808396
xyz.mp4,6,1133299
xyz.mp4,6,1579558
xyz.mp4,6,2944979
Databases.mp4,1,792952
Databases.mp4,1,748937
Databases.mp4,1,777062
Databases.mp4,1,835861
Databases.mp4,1,795195
Databases.mp4,1,755724
Databases.mp4,1,756198
Databases.mp4,1,719449
Databases.mp4,1,755681
Databases.mp4,1,763864
Databases.mp4,2,575724
Databases.mp4,2,575556
Databases.mp4,2,581310
Databases.mp4,2,569929
Databases.mp4,2,578217
Databases.mp4,2,541805
Databases.mp4,2,531820
Databases.mp4,2,528271
Databases.mp4,2,538903
Databases.mp4,2,540830
Databases.mp4,3,476896
Databases.mp4,3,464419
Databases.mp4,3,488390
Databases.mp4,3,476538
Databases.mp4,3,462893
Databases.mp4,3,480396
Databases.mp4,3,491028
Databases.mp4,3,466899
Databases.mp4,3,444456
Databases.mp4,3,448245
Databases.mp4,4,461200
Databases.mp4,4,447205
Databases.mp4,4,453675
Databases.mp4,4,459325
Databases.mp4,4,456528
Databases.mp4,4,469830
Databases.mp4,4,448165
Databases.mp4,4,446132
Databases.mp4,4,441948
Databases.mp4,4,466465
Databases.mp4,5,463488
Databases.mp4,5,451888
Databases.mp4,5,442908
Databases.mp4,5,445192
Databases.mp4,5,449230
Databases.mp4,5,444788
Databases.mp4,5,446388
Databases.mp4,5,439633
Databases.mp4,5,452639
Databases.mp4,5,453760
Databases.mp4,6,467867
Databases.mp4,6,442223
Databases.mp4,6,438286
Databases.mp4,6,429363
Databases.mp4,6,437194
Databases.mp4,6,440747
Databases.mp4,7,919475
Databases.mp4,7,973429
Databases.mp4,7,458201
Databases.mp4,7,785613
Databases.mp4,7,470708
Databases.mp4,7,997663
Databases.mp4,7,457409
Databases.mp4,7,459405
Databases.mp4,7,1024432
Databases.mp4,7,575131
